site_id,pollutant,n_total,n_valid,n_flag_iqr,n_flag_hampel,n_flag_rolling_zscore,n_flag_stl,n_flag_isolation_forest,n_consensus
32,NO2,52608,48469,1370,2569,343,8111,2424,2556
32,O3,52608,51209,0,806,3,4735,2561,507
32,PM2.5,52608,41520,268,1010,155,5648,2076,1150
52,NO2,52608,37197,461,2053,367,8543,1860,2024
52,O3,52608,50191,0,953,0,4842,2510,564
59,NO2,52608,50313,2008,2688,496,7761,2516,3009
59,O3,52608,50882,0,370,1,3959,2545,412
59,PM2.5,52608,39938,269,1064,158,6040,1997,1295
59,SO2,52608,32454,428,576,441,6412,1623,1187
1069,CO,52608,50826,558,784,501,6476,2542,1427
1069,NO2,52608,42619,13,1923,122,8309,2131,1742
1069,PM2.5,52608,39884,218,910,136,6771,1995,1165
1080,SO2,36539,32674,955,1681,394,4211,1634,1828
1087,PM2.5,1113,1012,8,56,8,120,51,42
