column,n_gaps,total_missing,pct_missing,min_gap_h,max_gap_h,mean_gap_h,median_gap_h,n_gaps_short_le2h,n_gaps_medium_3_24h,n_gaps_long_gt24h,station_id
CO,1,52608,100.0,52608.0,52608.0,52608.0,52608.0,0,0,1,32
NO2,0,0,0.0,,,,,0,0,0,32
O3,0,0,0.0,,,,,0,0,0,32
PM2.5,0,0,0.0,,,,,0,0,0,32
SO2,1,52608,100.0,52608.0,52608.0,52608.0,52608.0,0,0,1,32
CO,1,52608,100.0,52608.0,52608.0,52608.0,52608.0,0,0,1,52
NO2,0,0,0.0,,,,,0,0,0,52
O3,0,0,0.0,,,,,0,0,0,52
PM2.5,1,52608,100.0,52608.0,52608.0,52608.0,52608.0,0,0,1,52
SO2,1,52608,100.0,52608.0,52608.0,52608.0,52608.0,0,0,1,52
CO,1,52608,100.0,52608.0,52608.0,52608.0,52608.0,0,0,1,59
NO2,0,0,0.0,,,,,0,0,0,59
O3,0,0,0.0,,,,,0,0,0,59
PM2.5,0,0,0.0,,,,,0,0,0,59
SO2,0,0,0.0,,,,,0,0,0,59
CO,0,0,0.0,,,,,0,0,0,1069
NO2,0,0,0.0,,,,,0,0,0,1069
O3,1,52608,100.0,52608.0,52608.0,52608.0,52608.0,0,0,1,1069
PM2.5,0,0,0.0,,,,,0,0,0,1069
SO2,1,52608,100.0,52608.0,52608.0,52608.0,52608.0,0,0,1,1069
CO,1,36539,100.0,36539.0,36539.0,36539.0,36539.0,0,0,1,1080
NO2,1,36539,100.0,36539.0,36539.0,36539.0,36539.0,0,0,1,1080
O3,1,36539,100.0,36539.0,36539.0,36539.0,36539.0,0,0,1,1080
PM2.5,1,36539,100.0,36539.0,36539.0,36539.0,36539.0,0,0,1,1080
SO2,0,0,0.0,,,,,0,0,0,1080
CO,1,1113,100.0,1113.0,1113.0,1113.0,1113.0,0,0,1,1087
NO2,1,1113,100.0,1113.0,1113.0,1113.0,1113.0,0,0,1,1087
O3,1,1113,100.0,1113.0,1113.0,1113.0,1113.0,0,0,1,1087
PM2.5,0,0,0.0,,,,,0,0,0,1087
SO2,1,1113,100.0,1113.0,1113.0,1113.0,1113.0,0,0,1,1087
