station_id,pollutant,n_observed,n_negative,pct_negative
32,CO,0,0,0.0
32,NO2,48487,18,0.04
32,O3,51209,0,0.0
32,PM2.5,42531,1011,2.38
32,SO2,0,0,0.0
52,CO,0,0,0.0
52,NO2,41662,4465,10.72
52,O3,50244,53,0.11
52,PM2.5,0,0,0.0
52,SO2,0,0,0.0
59,CO,0,0,0.0
59,NO2,50345,32,0.06
59,O3,50882,0,0.0
59,PM2.5,42247,2309,5.47
59,SO2,48870,16416,33.59
1069,CO,50862,36,0.07
1069,NO2,45515,2896,6.36
1069,O3,0,0,0.0
1069,PM2.5,41021,1137,2.77
1069,SO2,0,0,0.0
1080,CO,0,0,0.0
1080,NO2,0,0,0.0
1080,O3,0,0,0.0
1080,PM2.5,0,0,0.0
1080,SO2,34797,2123,6.1
1087,CO,0,0,0.0
1087,NO2,0,0,0.0
1087,O3,0,0,0.0
1087,PM2.5,1012,0,0.0
1087,SO2,0,0,0.0
