site_id,pollutant,n_observed,n_short_interp,n_medium_ridge,n_long_seasonal,n_still_missing,total_imputed
32,NO2,48469,1006,454,2679,0,4139
32,O3,51209,738,116,545,0,1399
32,PM2.5,41520,1346,329,9413,0,11088
52,NO2,37197,2429,3108,9874,0,15411
52,O3,50191,758,201,1458,0,2417
59,NO2,50313,1084,492,719,0,2295
59,O3,50882,804,134,788,0,1726
59,PM2.5,39938,2381,365,9924,0,12670
59,SO2,32454,4826,11919,3409,0,20154
1069,CO,50826,865,275,642,0,1782
1069,NO2,42619,2506,3160,4323,0,9989
1069,PM2.5,39884,1304,261,11159,0,12724
1080,SO2,32674,1790,1290,785,0,3865
1087,PM2.5,1012,5,0,96,0,101
