datetime,state_code,county_code,site,CO,NO2,O3,PM2.5,SO2
2019-01-01 00:00:00,48,29,59,,11.5,0.001,32.0,0.3
2019-01-01 01:00:00,48,29,59,,12.2,0.001,68.0,0.3
2019-01-01 02:00:00,48,29,59,,13.8,0.001,84.0,0.5
2019-01-01 03:00:00,48,29,59,,13.8,0.001,89.0,0.7
2019-01-01 04:00:00,48,29,59,,10.0,0.001,97.0,0.8
2019-01-01 05:00:00,48,29,59,,13.2,0.001,93.0,0.7
2019-01-01 06:00:00,48,29,59,,7.7,0.005,24.0,0.4
2019-01-01 07:00:00,48,29,59,,4.0,0.012,6.0,0.4
2019-01-01 08:00:00,48,29,59,,3.1,0.017,7.0,0.3
2019-01-01 09:00:00,48,29,59,,2.8,0.017,11.0,0.3
2019-01-01 10:00:00,48,29,59,,2.8,0.017,13.0,0.3
2019-01-01 11:00:00,48,29,59,,2.4,0.019,15.0,0.3
2019-01-01 12:00:00,48,29,59,,2.6,0.021,5.0,0.4
2019-01-01 13:00:00,48,29,59,,2.6,0.022,5.0,0.3
2019-01-01 14:00:00,48,29,59,,2.8,0.022,5.0,0.3
2019-01-01 15:00:00,48,29,59,,3.1,0.02,7.0,0.2
2019-01-01 16:00:00,48,29,59,,3.4,0.019,10.0,0.2
2019-01-01 17:00:00,48,29,59,,3.2,0.016,11.0,0.0
2019-01-01 18:00:00,48,29,59,,3.3,0.014,11.0,0.1
2019-01-01 19:00:00,48,29,59,,3.6,0.014,9.0,0.1
2019-01-01 20:00:00,48,29,59,,3.4,0.014,11.0,0.3
2019-01-01 21:00:00,48,29,59,,3.3,0.012,14.0,0.1
2019-01-01 22:00:00,48,29,59,,3.3,0.012,14.0,0.2
2019-01-01 23:00:00,48,29,59,,3.0,0.013,12.0,0.1
2019-01-02 00:00:00,48,29,59,,3.2,0.013,10.0,0.0
2019-01-02 01:00:00,48,29,59,,3.0,0.013,12.0,0.1
2019-01-02 02:00:00,48,29,59,,2.6,0.013,10.0,0.0
2019-01-02 03:00:00,48,29,59,,2.4,0.012,8.0,0.0
2019-01-02 04:00:00,48,29,59,,2.3,0.011,9.0,0.0
2019-01-02 05:00:00,48,29,59,,2.6,0.011,11.0,0.0
2019-01-02 06:00:00,48,29,59,,3.8,0.011,9.0,0.1
2019-01-02 07:00:00,48,29,59,,3.5,0.011,4.0,0.0
2019-01-02 08:00:00,48,29,59,,3.9,0.01,4.0,0.0
2019-01-02 09:00:00,48,29,59,,5.5,0.009,4.0,0.0
2019-01-02 10:00:00,48,29,59,,5.7,0.009,5.0,0.1
2019-01-02 11:00:00,48,29,59,,4.3,0.01,4.0,0.1
2019-01-02 12:00:00,48,29,59,,3.7,0.012,-1.0,0.1
2019-01-02 13:00:00,48,29,59,,3.5,0.012,2.0,0.0
2019-01-02 14:00:00,48,29,59,,3.9,0.011,1.0,0.0
2019-01-02 15:00:00,48,29,59,,3.4,0.011,3.0,0.0
2019-01-02 16:00:00,48,29,59,,4.3,0.011,1.0,0.0
2019-01-02 17:00:00,48,29,59,,4.7,0.01,1.0,0.0
2019-01-02 18:00:00,48,29,59,,4.1,0.011,0.0,0.1
2019-01-02 19:00:00,48,29,59,,5.1,0.011,8.0,0.1
2019-01-02 20:00:00,48,29,59,,6.7,0.011,7.0,0.2
2019-01-02 21:00:00,48,29,59,,6.6,0.011,5.0,0.1
2019-01-02 22:00:00,48,29,59,,2.9,0.012,-5.0,0.1
2019-01-02 23:00:00,48,29,59,,2.3,0.013,-3.0,0.0
2019-01-03 00:00:00,48,29,59,,2.4,0.011,0.0,0.0
2019-01-03 01:00:00,48,29,59,,2.4,0.01,2.0,0.0
2019-01-03 02:00:00,48,29,59,,7.4,0.006,3.0,0.0
2019-01-03 03:00:00,48,29,59,,8.7,0.006,2.0,0.1
2019-01-03 04:00:00,48,29,59,,7.1,0.006,3.0,0.1
2019-01-03 05:00:00,48,29,59,,4.2,0.008,2.0,0.0
2019-01-03 06:00:00,48,29,59,,4.2,0.008,2.0,0.0
2019-01-03 07:00:00,48,29,59,,8.9,0.005,1.0,0.1
2019-01-03 08:00:00,48,29,59,,5.9,0.007,2.0,0.0
2019-01-03 09:00:00,48,29,59,,4.8,0.01,9.0,0.0
2019-01-03 10:00:00,48,29,59,,5.8,0.012,4.0,0.1
2019-01-03 11:00:00,48,29,59,,4.5,0.017,6.0,0.0
2019-01-03 12:00:00,48,29,59,,2.9,0.024,3.0,0.0
2019-01-03 13:00:00,48,29,59,,2.8,0.029,5.0,0.2
2019-01-03 14:00:00,48,29,59,,3.3,0.032,8.0,0.3
2019-01-03 15:00:00,48,29,59,,4.0,0.033,5.0,0.3
2019-01-03 16:00:00,48,29,59,,4.2,0.034,6.0,0.3
2019-01-03 17:00:00,48,29,59,,8.9,0.028,1.0,0.3
2019-01-03 18:00:00,48,29,59,,26.7,0.009,-1.0,0.3
2019-01-03 19:00:00,48,29,59,,28.4,0.003,6.0,0.4
2019-01-03 20:00:00,48,29,59,,27.6,0.001,9.0,0.7
2019-01-03 21:00:00,48,29,59,,25.0,0.001,8.0,0.5
2019-01-03 22:00:00,48,29,59,,24.1,0.0,10.0,0.7
2019-01-03 23:00:00,48,29,59,,23.3,0.004,11.0,0.3
2019-01-04 00:00:00,48,29,59,,23.5,0.0,13.0,0.3
2019-01-04 01:00:00,48,29,59,,18.5,0.0,10.0,0.4
2019-01-04 02:00:00,48,29,59,,16.5,0.0,11.0,0.3
2019-01-04 03:00:00,48,29,59,,12.2,0.01,10.0,0.1
2019-01-04 04:00:00,48,29,59,,7.0,0.017,15.0,0.1
2019-01-04 05:00:00,48,29,59,,9.8,0.012,5.0,0.1
2019-01-04 06:00:00,48,29,59,,7.7,0.014,4.0,0.1
2019-01-04 07:00:00,48,29,59,,14.3,0.006,4.0,0.1
2019-01-04 08:00:00,48,29,59,,15.6,0.008,16.0,0.2
2019-01-04 09:00:00,48,29,59,,15.2,0.014,12.0,0.2
2019-01-04 10:00:00,48,29,59,,9.4,0.024,7.0,0.1
2019-01-04 11:00:00,48,29,59,,8.9,0.027,2.0,0.2
2019-01-04 12:00:00,48,29,59,,8.4,0.032,1.0,0.4
2019-01-04 13:00:00,48,29,59,,7.4,0.036,2.0,0.4
2019-01-04 14:00:00,48,29,59,,5.1,0.041,1.0,0.4
2019-01-04 15:00:00,48,29,59,,3.9,0.045,1.0,0.4
2019-01-04 16:00:00,48,29,59,,4.2,0.044,4.0,0.4
2019-01-04 17:00:00,48,29,59,,11.8,0.033,-3.0,0.4
