station,pollutant,gap_category,count,total_missing_hours,longest_gap
station1,NO2,very_short,348,621,2
station1,NO2,medium,183,809,11
station1,NO2,long,2,76,42
station1,NO2,very_long,4,2615,1182
station1,O3,very_short,479,632,2
station1,O3,medium,47,210,23
station1,O3,long,4,212,90
station1,O3,very_long,2,345,176
station1,PM2.5,very_short,75,111,2
station1,PM2.5,medium,117,537,24
station1,PM2.5,long,7,645,148
station1,PM2.5,very_long,1,8784,8784
station4,CO,very_short,482,642,2
station4,CO,medium,97,448,23
station4,CO,long,6,463,143
station4,CO,very_long,1,193,193
station4,NO2,very_short,184,304,2
station4,NO2,medium,488,2482,17
station4,NO2,long,21,1497,151
station4,NO2,very_long,3,2810,1427
station4,PM2.5,very_short,106,149,2
station4,PM2.5,medium,35,219,24
station4,PM2.5,long,18,1090,141
station4,PM2.5,very_long,3,10129,8839
