datetime,station_key,CO,NO2,O3,PM2.5,SO2,imputed_linear
2019-01-01 00:00:00,station4,1.4,5.3,,389.0,,389.0
2019-01-01 01:00:00,station4,1.4,3.9,,302.0,,302.0
2019-01-01 02:00:00,station4,1.3,5.6,,206.0,,206.0
2019-01-01 03:00:00,station4,0.8,6.2,,96.0,,96.0
2019-01-01 04:00:00,station4,0.5,6.2,,26.0,,26.0
2019-01-01 05:00:00,station4,0.3,3.3,,4.0,,4.0
2019-01-01 06:00:00,station4,0.2,5.0,,-1.0,,0.0
2019-01-01 07:00:00,station4,0.2,14.1,,-1.0,,0.0
2019-01-01 08:00:00,station4,0.2,5.9,,3.0,,3.0
2019-01-01 09:00:00,station4,0.2,0.9,,2.0,,2.0
2019-01-01 10:00:00,station4,0.2,0.8,,3.0,,3.0
2019-01-01 11:00:00,station4,0.2,0.6,,6.0,,6.0
2019-01-01 12:00:00,station4,0.3,2.1,,4.0,,4.0
2019-01-01 13:00:00,station4,0.3,1.4,,9.0,,9.0
2019-01-01 14:00:00,station4,0.3,1.5,,10.0,,10.0
2019-01-01 15:00:00,station4,0.3,2.7,,11.0,,11.0
2019-01-01 16:00:00,station4,0.3,2.5,,12.0,,12.0
2019-01-01 17:00:00,station4,0.3,2.5,,8.0,,8.0
2019-01-01 18:00:00,station4,0.3,3.2,,11.0,,11.0
2019-01-01 19:00:00,station4,0.3,3.2,,10.0,,10.0
2019-01-01 20:00:00,station4,0.3,5.1,,10.0,,10.0
2019-01-01 21:00:00,station4,0.3,5.1,,7.0,,7.0
2019-01-01 22:00:00,station4,0.2,2.2,,9.0,,9.0
2019-01-01 23:00:00,station4,0.2,4.1,,11.0,,11.0
2019-01-02 00:00:00,station4,0.2,3.5,,11.0,,11.0
2019-01-02 01:00:00,station4,0.2,1.0,,9.0,,9.0
2019-01-02 02:00:00,station4,0.2,1.1,,10.0,,10.0
2019-01-02 03:00:00,station4,0.2,0.7,,12.0,,12.0
2019-01-02 04:00:00,station4,0.2,7.3,,9.0,,9.0
2019-01-02 05:00:00,station4,0.3,6.9,,8.0,,8.0
2019-01-02 06:00:00,station4,0.4,5.1,,1.0,,1.0
2019-01-02 07:00:00,station4,0.4,5.8,,0.0,,0.0
2019-01-02 08:00:00,station4,0.4,7.0,,1.0,,1.0
2019-01-02 09:00:00,station4,0.4,7.4,,0.0,,0.0
2019-01-02 10:00:00,station4,0.3,7.2,,,,0.1
2019-01-02 11:00:00,station4,0.4,7.2,,,,0.2
2019-01-02 12:00:00,station4,0.4,7.1,,,,0.3
2019-01-02 13:00:00,station4,0.4,8.9,,,,0.4
2019-01-02 14:00:00,station4,0.4,6.2,,,,0.5
2019-01-02 15:00:00,station4,0.4,8.8,,,,0.6
2019-01-02 16:00:00,station4,0.4,10.1,,,,0.7
2019-01-02 17:00:00,station4,0.4,8.2,,,,0.8
2019-01-02 18:00:00,station4,0.3,4.8,,,,0.9
2019-01-02 19:00:00,station4,0.4,11.4,,,,1.0
2019-01-02 20:00:00,station4,0.3,5.2,,,,1.1
2019-01-02 21:00:00,station4,0.3,4.6,,,,1.2
2019-01-02 22:00:00,station4,0.3,4.8,,,,1.3
2019-01-02 23:00:00,station4,0.2,3.8,,,,1.4
